from,to,line
R11S,R13S,N
R13N,R11N,N
R13S,R14S,N
R14N,R13N,N
R14S,R15S,N
R15N,R14N,N
R15S,R16S,N
R16N,R15N,N
R16S,R17S,N
R17N,R16N,N
R17S,R18S,N
R17S,R20S,N
R18N,R17N,N
R18S,R19S,N
R19N,R18N,N
R19S,R20S,N
R20N,R17N,N
R20N,R19N,N
R20S,Q01S,N
R20S,R21S,N
R21N,R20N,N
R21S,R22S,N
R22N,R21N,N
R22S,R23S,N
R23N,R22N,N
R23S,R24S,N
R24N,R23N,N
R24S,R25S,N
R25N,R24N,N
R25S,R26S,N
R26N,R25N,N
R26S,R27S,N
R27N,R26N,N
R31N,Q01N,N
R31S,R36S,N
R36N,R31N,N
R36S,R41S,N
R41N,R36N,N
R41S,N02S,N
B08N,Q03N,Q
B08S,R14S,Q
D24N,R30N,Q
D24S,D25S,Q
D25N,D24N,Q
D25S,D26S,Q
D26N,D25N,Q
D26S,D27S,Q
D27N,D26N,Q
D27S,D28S,Q
D28N,D27N,Q
D28S,D29S,Q
D29N,D28N,Q
D29S,D30S,Q
D30N,D29N,Q
D30S,D31S,Q
D31N,D30N,Q
D31S,D32S,Q
D32N,D31N,Q
D32S,D33S,Q
D33N,D32N,Q
D33S,D34S,Q
D34N,D33N,Q
D34S,D35S,Q
D35N,D34N,Q
D35S,D37S,Q
D37N,D35N,Q
D37S,D38S,Q
D38N,D37N,Q
D38S,D39S,Q
D39N,D38N,Q
D39S,D40S,Q
D40N,D39N,Q
D40S,D41S,Q
D41N,D40N,Q
D41S,D42S,Q
D42N,D41N,Q
D42S,D43S,Q
D43N,D42N,Q
Q01N,R20N,Q
Q01S,R30S,Q
Q03N,Q04N,Q
Q03S,B08S,Q
Q04N,Q05N,Q
Q04S,Q03S,Q
Q05S,Q04S,Q
R14N,B08N,Q
R14S,R16S,Q
R16N,R14N,Q
R16S,R17S,Q
R17N,R16N,Q
R17S,R20S,Q
R20N,R17N,Q
R20S,Q01S,Q
R30N,Q01N,Q
R30S,D24S,Q
G08S,G09S,R
G09N,G08N,R
G09S,G10S,R
G10N,G09N,R
G10S,G11S,R
G11N,G10N,R
G11S,G12S,R
G12N,G11N,R
G12S,G13S,R
G13N,G12N,R
G13S,G14S,R
G14N,G13N,R
G14S,G15S,R
G15N,G14N,R
G15S,G16S,R
G16N,G15N,R
G16S,G18S,R
G18N,G16N,R
G18S,G19S,R
G19N,G18N,R
G19S,G20S,R
G20N,G19N,R
G20S,G21S,R
G21N,G20N,R
G21S,R11S,R
R11N,G21N,R
R11S,R13S,R
R13N,R11N,R
R13S,R14S,R
R14N,R13N,R
R14S,R15S,R
R15N,R14N,R
R15S,R16S,R
R16N,R15N,R
R16S,R17S,R
R17N,R16N,R
R17S,R18S,R
R18N,R17N,R
R18S,R19S,R
R19N,R18N,R
R19S,R20S,R
R20N,R19N,R
R20S,R21S,R
R21N,R20N,R
R21S,R22S,R
R22N,R21N,R
R22S,R23S,R
R23N,R22N,R
R23S,R24S,R
R24N,R23N,R
R24S,R25S,R
R25N,R24N,R
R25S,R26S,R
R26N,R25N,R
R26S,R27S,R
R27N,R26N,R
R27S,R28S,R
R28N,R27N,R
R28S,R29S,R
R29N,R28N,R
R29S,R30S,R
R30N,R29N,R
R30S,R31S,R
R31N,R30N,R
R31S,R32S,R
R32N,R31N,R
R32S,R33S,R
R33N,R32N,R
R33S,R34S,R
R34N,R33N,R
R34S,R35S,R
R35N,R34N,R
R35S,R36S,R
R36N,R35N,R
R36S,R39S,R
R39N,R36N,R
R39S,R40S,R
R40N,R39N,R
R40S,R41S,R
R41N,R40N,R
R41S,R42S,R
R42N,R41N,R
R42S,R43S,R
R43N,R42N,R
R43S,R44S,R
R44N,R43N,R
R44S,R45S,R
R45N,R44N,R
S09N,S11N,SI
S11N,S13N,SI
S11S,S09S,SI
S13N,S14N,SI
S13S,S11S,SI
S14N,S15N,SI
S14S,S13S,SI
S15N,S16N,SI
S15S,S14S,SI
S16N,S17N,SI
S16S,S15S,SI
S17N,S18N,SI
S17S,S16S,SI
S18N,S19N,SI
S18S,S17S,SI
S19N,S20N,SI
S19S,S18S,SI
S20N,S21N,SI
S20S,S19S,SI
S21N,S22N,SI
S21S,S20S,SI
S22N,S23N,SI
S22S,S21S,SI
S23N,S24N,SI
S23S,S22S,SI
S24N,S25N,SI
S24S,S23S,SI
S25N,S26N,SI
S25S,S24S,SI
S26N,S27N,SI
S26S,S25S,SI
S27N,S28N,SI
S27S,S26S,SI
S28N,S29N,SI
S28S,S27S,SI
S29N,S30N,SI
S29S,S28S,SI
S30N,S31N,SI
S30S,S29S,SI
S31S,S19S,SI
S31S,S30S,SI
