STATION,route_id,hour,crowd
121 ST,Z,20,4.0
121 ST,Z,21,0.0
121 ST,Z,22,0.0
121 ST,Z,23,0.0
125 ST,1,0,58.0
125 ST,1,1,2.0
125 ST,1,2,11.0
125 ST,1,3,7.0
125 ST,1,4,19.0
125 ST,1,5,9.0
125 ST,1,6,313.0
125 ST,1,7,616.0
125 ST,1,8,920.0
125 ST,1,9,1224.0
125 ST,1,10,132.0
125 ST,1,11,41.0
125 ST,1,12,39.0
125 ST,1,13,79.0
125 ST,1,14,479.0
125 ST,1,15,488.0
125 ST,1,16,308.0
125 ST,1,17,246.0
125 ST,1,18,293.0
125 ST,1,19,207.0
125 ST,1,20,61.0
125 ST,1,21,28.0
125 ST,1,22,15.0
125 ST,1,23,22.0
125 ST,2,0,0.0
125 ST,2,1,1.0
125 ST,2,2,1.0
125 ST,2,3,1.0
125 ST,2,4,6.0
125 ST,2,5,0.0
125 ST,2,6,0.0
125 ST,2,7,0.0
125 ST,2,8,0.0
125 ST,2,9,92.0
125 ST,2,10,26.0
125 ST,2,11,2.0
125 ST,2,12,2.0
125 ST,2,13,1.0
125 ST,2,14,10.0
125 ST,2,15,35.0
125 ST,2,16,9.0
125 ST,2,17,8.0
125 ST,2,18,5.0
125 ST,2,19,4.0
125 ST,2,20,2.0
125 ST,2,21,1.0
125 ST,2,22,1.0
125 ST,2,23,1.0
125 ST,3,0,0.0
125 ST,3,1,0.0
125 ST,3,2,0.0
125 ST,3,3,0.0
125 ST,3,4,3.0
125 ST,3,5,6.0
125 ST,3,6,10.0
125 ST,3,7,13.0
125 ST,3,8,16.0
125 ST,3,9,19.0
125 ST,3,10,4.0
125 ST,3,11,2.0
125 ST,3,12,2.0
125 ST,3,13,3.0
125 ST,3,14,7.0
125 ST,3,15,10.0
125 ST,3,16,4.0
125 ST,3,17,4.0
125 ST,3,18,2.0
125 ST,3,19,2.0
125 ST,3,20,2.0
125 ST,3,21,1.0
125 ST,3,22,1.0
125 ST,3,23,1.0
125 ST,4,0,0.0
125 ST,4,1,0.0
125 ST,4,2,0.0
125 ST,4,3,0.0
125 ST,4,4,0.0
125 ST,4,5,0.0
125 ST,4,6,0.0
125 ST,4,7,0.0
125 ST,4,8,0.0
125 ST,4,9,0.0
125 ST,4,10,0.0
125 ST,4,11,0.0
125 ST,4,12,0.0
125 ST,4,13,0.0
125 ST,4,14,0.0
125 ST,4,15,0.0
125 ST,4,16,0.0
125 ST,4,17,0.0
125 ST,4,18,0.0
125 ST,4,19,0.0
125 ST,4,20,0.0
125 ST,4,21,0.0
125 ST,4,22,0.0
125 ST,4,23,0.0
125 ST,5,0,0.0
125 ST,5,1,0.0
125 ST,5,2,0.0
125 ST,5,3,0.0
125 ST,5,4,0.0
125 ST,5,5,0.0
125 ST,5,6,0.0
125 ST,5,7,0.0
125 ST,5,8,0.0
125 ST,5,9,0.0
125 ST,5,10,0.0
125 ST,5,11,0.0
125 ST,5,12,0.0
125 ST,5,13,0.0
125 ST,5,14,0.0
125 ST,5,15,0.0
125 ST,5,16,0.0
125 ST,5,17,0.0
125 ST,5,18,0.0
125 ST,5,19,0.0
125 ST,5,20,0.0
125 ST,5,21,0.0
125 ST,5,22,0.0
125 ST,5,23,0.0
125 ST,5X,0,0.0
125 ST,5X,1,0.0
125 ST,5X,2,0.0
125 ST,5X,3,0.0
125 ST,5X,4,0.0
125 ST,5X,5,0.0
125 ST,5X,6,0.0
125 ST,5X,7,0.0
125 ST,5X,8,0.0
125 ST,5X,9,0.0
125 ST,5X,10,0.0
125 ST,5X,11,0.0
125 ST,5X,12,0.0
125 ST,5X,13,0.0
125 ST,5X,14,0.0
125 ST,5X,15,0.0
125 ST,5X,16,0.0
125 ST,5X,17,0.0
125 ST,5X,18,0.0
125 ST,5X,19,0.0
125 ST,5X,20,0.0
125 ST,5X,21,0.0
125 ST,5X,22,0.0
125 ST,5X,23,0.0
125 ST,6,0,0.0
125 ST,6,1,0.0
125 ST,6,2,0.0
125 ST,6,3,0.0
125 ST,6,4,0.0
125 ST,6,5,0.0
125 ST,6,6,0.0
125 ST,6,7,0.0
125 ST,6,8,0.0
125 ST,6,9,0.0
125 ST,6,10,0.0
125 ST,6,11,0.0
125 ST,6,12,0.0
125 ST,6,13,0.0
125 ST,6,14,0.0
125 ST,6,15,0.0
125 ST,6,16,0.0
125 ST,6,17,0.0
125 ST,6,18,0.0
125 ST,6,19,0.0
125 ST,6,20,0.0
125 ST,6,21,0.0
125 ST,6,22,0.0
125 ST,6,23,0.0
125 ST,6X,0,0.0
125 ST,6X,1,0.0
125 ST,6X,2,0.0
125 ST,6X,3,0.0
125 ST,6X,4,0.0
125 ST,6X,5,0.0
125 ST,6X,6,0.0
125 ST,6X,7,0.0
125 ST,6X,8,0.0
125 ST,6X,9,0.0
125 ST,6X,10,0.0
125 ST,6X,11,0.0
