stop_id,order,route_id,station,id
901S,2,GS,Grand Central - 42 St,
H04S,1,H,Broad Channel,
H12S,2,H,Beach 90 St,
H13S,3,H,Beach 98 St,
H14S,4,H,Beach 105 St,
H15S,5,H,Rockaway Park - Beach 116 St,
G05S,1,J,Jamaica Center - Parsons/Archer,JAMAICA CENTER
G06S,2,J,Sutphin Blvd - Archer Av - JFK Airport,SUTPHIN-ARCHER
J12S,3,J,121 St,121 ST
J13S,4,J,111 St,111 ST
J14S,5,J,104 St,104 ST
J15S,6,J,Woodhaven Blvd,WOODHAVEN BLVD
J16S,7,J,85 St - Forest Pkwy,85 ST-FOREST PK
J17S,8,J,75 St - Elder Ln,75 ST-ELDERTS
J19S,9,J,Cypress Hills,CYPRESS HILLS
J20S,10,J,Crescent St,CRESCENT ST
J21S,11,J,Norwood Av,NORWOOD AV
J22S,12,J,Cleveland St,CLEVELAND ST
J23S,13,J,Van Siclen Av,VAN SICLEN AV
J24S,14,J,Alabama Av,ALABAMA AV
J27S,15,J,Broadway Jct,BROADWAY JCT
J28S,16,J,Chauncey St,CHAUNCEY ST
J29S,17,J,Halsey St,HALSEY ST
J30S,18,J,Gates Av,GATES AV
J31S,19,J,Kosciuszko St,KOSCIUSZKO ST
M11S,20,J,Myrtle Av,MYRTLE AV
M12S,21,J,Flushing Av,FLUSHING AV
M13S,22,J,Lorimer St,LORIMER ST
M14S,23,J,Hewes St,HEWES ST
M16S,24,J,Marcy Av,MARCY AV
M18S,25,J,Delancy St - Essex St,DELANCEY/ESSEX
M19S,26,J,Bowery,BOWERY
M20S,27,J,Canal St,CANAL ST
M21S,28,J,Chambers St,CHAMBERS ST
M22S,29,J,Fulton St,FULTON ST
M23S,30,J,Broad St,BROAD ST
L01S,1,L,8 Av,
L02S,2,L,6 Av,
L03S,3,L,Union Sq - 14 St,
L05S,4,L,3 Av,
L06S,5,L,1 Av,
L08S,6,L,Bedford Av,
L10S,7,L,Lorimer St,
L11S,8,L,Graham Av,
L12S,9,L,Grand St,
L13S,10,L,Montrose Av,
L14S,11,L,Morgan Av,
L15S,12,L,Jefferson St,
L16S,13,L,DeKalb Av,
L17S,14,L,Myrtle - Wyckoff Avs,
L19S,15,L,Halsey St,
L20S,16,L,Wilson Av,
L21S,17,L,Bushwick Av - Aberdeen St,
L22S,18,L,Broadway Jct,
L24S,19,L,Atlantic Av,
L25S,20,L,Sutter Av,
L26S,21,L,Livonia Av,
L27S,22,L,New Lots Av,
L28S,23,L,E 105 St,
L29S,24,L,Canarsie - Rockaway Pkwy,
G08S,1,M,Forest Hills - 71 Av,FOREST HILLS 71
G09S,2,M,67 Av,67 AV
G10S,3,M,63 Dr - Rego Park,63 DR-REGO PARK
G11S,4,M,Woodhaven Blvd,WOODHAVEN BLVD
G12S,5,M,Grand Av - Newtown,GRAND-NEWTOWN
G13S,6,M,Elmhurst Av,ELMHURST AV
