STATION,route_id,hour,direction_id,weekday,current_crowd,last_month_crowd,last_year_crowd
QUEENS PLAZA,M,1,1.0,1,92.0,42.0,325.0
QUEENS PLAZA,M,2,0.0,1,493.0,409.0,376.0
QUEENS PLAZA,M,2,1.0,1,92.0,42.0,325.0
QUEENS PLAZA,M,3,0.0,1,493.0,409.0,376.0
QUEENS PLAZA,M,3,1.0,1,92.0,42.0,325.0
QUEENS PLAZA,M,4,0.0,1,493.0,409.0,376.0
QUEENS PLAZA,M,4,1.0,1,92.0,42.0,325.0
QUEENS PLAZA,M,5,0.0,1,493.0,409.0,376.0
QUEENS PLAZA,M,5,1.0,1,92.0,42.0,325.0
QUEENS PLAZA,M,6,0.0,1,200.0,117.0,408.0
QUEENS PLAZA,M,6,1.0,1,78.0,38.0,303.0
QUEENS PLAZA,M,7,0.0,1,117.0,71.0,552.0
QUEENS PLAZA,M,7,1.0,1,90.0,40.0,366.0
QUEENS PLAZA,M,8,0.0,1,106.0,66.0,514.0
QUEENS PLAZA,M,8,1.0,1,75.0,30.0,324.0
QUEENS PLAZA,M,9,0.0,1,35.0,22.0,388.0
QUEENS PLAZA,M,9,1.0,1,75.0,34.0,360.0
QUEENS PLAZA,M,10,0.0,1,31.0,28.0,551.0
QUEENS PLAZA,M,10,1.0,1,63.0,29.0,337.0
QUEENS PLAZA,M,11,0.0,1,76.0,47.0,460.0
QUEENS PLAZA,M,11,1.0,1,61.0,38.0,277.0
QUEENS PLAZA,M,12,0.0,1,45.0,24.0,438.0
QUEENS PLAZA,M,12,1.0,1,40.0,24.0,226.0
QUEENS PLAZA,M,13,0.0,1,53.0,32.0,396.0
QUEENS PLAZA,M,13,1.0,1,33.0,21.0,155.0
QUEENS PLAZA,M,14,0.0,1,120.0,87.0,302.0
QUEENS PLAZA,M,14,1.0,1,31.0,46.0,120.0
QUEENS PLAZA,M,15,0.0,1,87.0,54.0,262.0
QUEENS PLAZA,M,15,1.0,1,19.0,14.0,103.0
QUEENS PLAZA,M,16,0.0,1,91.0,48.0,171.0
QUEENS PLAZA,M,16,1.0,1,15.0,10.0,77.0
QUEENS PLAZA,M,17,0.0,1,88.0,43.0,112.0
QUEENS PLAZA,M,17,1.0,1,13.0,10.0,80.0
QUEENS PLAZA,M,18,0.0,1,87.0,40.0,91.0
QUEENS PLAZA,M,18,1.0,1,12.0,9.0,76.0
QUEENS PLAZA,M,19,0.0,1,79.0,37.0,81.0
QUEENS PLAZA,M,19,1.0,1,11.0,9.0,85.0
QUEENS PLAZA,M,20,0.0,1,54.0,26.0,67.0
QUEENS PLAZA,M,20,1.0,1,12.0,6.0,71.0
QUEENS PLAZA,M,21,0.0,1,36.0,17.0,56.0
QUEENS PLAZA,M,21,1.0,1,12.0,6.0,71.0
QUEENS PLAZA,M,22,0.0,1,36.0,17.0,56.0
QUEENS PLAZA,M,22,1.0,1,12.0,6.0,71.0
QUEENS PLAZA,M,23,0.0,1,36.0,17.0,56.0
QUEENS PLAZA,M,23,1.0,1,12.0,6.0,71.0
QUEENS PLAZA,R,0,0.0,0,19.0,8.0,127.0
QUEENS PLAZA,R,0,0.0,1,21.0,8.0,139.0
QUEENS PLAZA,R,0,1.0,0,29.0,17.0,93.0
QUEENS PLAZA,R,0,1.0,1,153.0,78.0,527.0
QUEENS PLAZA,R,1,0.0,0,18.0,8.0,113.0
QUEENS PLAZA,R,1,0.0,1,22.0,9.0,145.0
QUEENS PLAZA,R,1,1.0,0,29.0,17.0,93.0
QUEENS PLAZA,R,1,1.0,1,153.0,78.0,527.0
QUEENS PLAZA,R,2,0.0,0,16.0,8.0,100.0
QUEENS PLAZA,R,2,0.0,1,22.0,10.0,150.0
QUEENS PLAZA,R,2,1.0,0,29.0,17.0,93.0
QUEENS PLAZA,R,2,1.0,1,153.0,78.0,527.0
QUEENS PLAZA,R,3,0.0,0,15.0,8.0,86.0
QUEENS PLAZA,R,3,0.0,1,23.0,11.0,156.0
QUEENS PLAZA,R,3,1.0,0,29.0,17.0,93.0
QUEENS PLAZA,R,3,1.0,1,153.0,78.0,527.0
QUEENS PLAZA,R,4,0.0,0,14.0,8.0,72.0
QUEENS PLAZA,R,4,0.0,1,24.0,12.0,162.0
QUEENS PLAZA,R,4,1.0,0,29.0,17.0,93.0
QUEENS PLAZA,R,4,1.0,1,153.0,78.0,527.0
QUEENS PLAZA,R,5,0.0,0,13.0,8.0,58.0
QUEENS PLAZA,R,5,0.0,1,25.0,13.0,168.0
QUEENS PLAZA,R,5,1.0,0,29.0,17.0,93.0
QUEENS PLAZA,R,5,1.0,1,153.0,78.0,527.0
QUEENS PLAZA,R,6,0.0,0,11.0,8.0,45.0
QUEENS PLAZA,R,6,0.0,1,26.0,14.0,174.0
QUEENS PLAZA,R,6,1.0,0,21.0,12.0,84.0
QUEENS PLAZA,R,6,1.0,1,82.0,44.0,340.0
QUEENS PLAZA,R,7,0.0,0,6.0,7.0,29.0
QUEENS PLAZA,R,7,0.0,1,24.0,20.0,182.0
QUEENS PLAZA,R,7,1.0,0,20.0,11.0,101.0
QUEENS PLAZA,R,7,1.0,1,95.0,48.0,392.0
QUEENS PLAZA,R,8,0.0,0,5.0,5.0,39.0
QUEENS PLAZA,R,8,0.0,1,24.0,12.0,166.0
QUEENS PLAZA,R,8,1.0,0,22.0,13.0,132.0
QUEENS PLAZA,R,8,1.0,1,78.0,38.0,337.0
QUEENS PLAZA,R,9,0.0,0,3.0,5.0,51.0
QUEENS PLAZA,R,9,0.0,1,29.0,12.0,210.0
QUEENS PLAZA,R,9,1.0,0,22.0,11.0,143.0
QUEENS PLAZA,R,9,1.0,1,67.0,31.0,337.0
QUEENS PLAZA,R,10,0.0,0,3.0,3.0,81.0
QUEENS PLAZA,R,10,0.0,1,17.0,11.0,304.0
QUEENS PLAZA,R,10,1.0,0,27.0,10.0,174.0
QUEENS PLAZA,R,10,1.0,1,87.0,45.0,311.0
QUEENS PLAZA,R,11,0.0,0,5.0,3.0,125.0
QUEENS PLAZA,R,11,0.0,1,60.0,19.0,440.0
QUEENS PLAZA,R,11,1.0,0,28.0,12.0,170.0
QUEENS PLAZA,R,11,1.0,1,48.0,35.0,257.0
QUEENS PLAZA,R,12,0.0,0,17.0,4.0,184.0
QUEENS PLAZA,R,12,0.0,1,45.0,23.0,524.0
QUEENS PLAZA,R,12,1.0,0,25.0,13.0,155.0
QUEENS PLAZA,R,12,1.0,1,42.0,24.0,225.0
QUEENS PLAZA,R,13,0.0,0,12.0,5.0,204.0
QUEENS PLAZA,R,13,0.0,1,57.0,26.0,449.0
QUEENS PLAZA,R,13,1.0,0,29.0,15.0,143.0
QUEENS PLAZA,R,13,1.0,1,30.0,18.0,136.0
QUEENS PLAZA,R,14,0.0,0,26.0,10.0,316.0
QUEENS PLAZA,R,14,0.0,1,69.0,39.0,339.0
QUEENS PLAZA,R,14,1.0,0,25.0,12.0,115.0
QUEENS PLAZA,R,14,1.0,1,37.0,49.0,144.0
QUEENS PLAZA,R,15,0.0,0,21.0,6.0,316.0
QUEENS PLAZA,R,15,0.0,1,99.0,64.0,398.0
QUEENS PLAZA,R,15,1.0,0,23.0,13.0,112.0
QUEENS PLAZA,R,15,1.0,1,25.0,17.0,129.0
QUEENS PLAZA,R,16,0.0,0,37.0,16.0,448.0
QUEENS PLAZA,R,16,0.0,1,74.0,41.0,327.0
QUEENS PLAZA,R,16,1.0,0,17.0,11.0,96.0
QUEENS PLAZA,R,16,1.0,1,20.0,14.0,109.0
QUEENS PLAZA,R,17,0.0,0,41.0,18.0,452.0
QUEENS PLAZA,R,17,0.0,1,73.0,38.0,316.0
QUEENS PLAZA,R,17,1.0,0,15.0,8.0,90.0
QUEENS PLAZA,R,17,1.0,1,18.0,13.0,105.0
QUEENS PLAZA,R,18,0.0,0,42.0,23.0,427.0
QUEENS PLAZA,R,18,0.0,1,75.0,40.0,283.0
QUEENS PLAZA,R,18,1.0,0,13.0,7.0,79.0
QUEENS PLAZA,R,18,1.0,1,16.0,12.0,105.0
QUEENS PLAZA,R,19,0.0,0,39.0,23.0,398.0
QUEENS PLAZA,R,19,0.0,1,76.0,41.0,328.0
QUEENS PLAZA,R,19,1.0,0,9.0,5.0,70.0
QUEENS PLAZA,R,19,1.0,1,15.0,12.0,93.0
QUEENS PLAZA,R,20,0.0,0,25.0,21.0,357.0
QUEENS PLAZA,R,20,0.0,1,59.0,35.0,295.0
QUEENS PLAZA,R,20,1.0,0,7.0,4.0,59.0
QUEENS PLAZA,R,20,1.0,1,13.0,7.0,89.0
QUEENS PLAZA,R,21,0.0,0,25.0,21.0,286.0
QUEENS PLAZA,R,21,0.0,1,34.0,24.0,208.0
QUEENS PLAZA,R,21,1.0,0,5.0,3.0,41.0
QUEENS PLAZA,R,21,1.0,1,12.0,6.0,68.0
QUEENS PLAZA,R,22,0.0,0,22.0,12.0,247.0
QUEENS PLAZA,R,22,0.0,1,22.0,11.0,154.0
QUEENS PLAZA,R,22,1.0,0,5.0,4.0,29.0
QUEENS PLAZA,R,22,1.0,1,8.0,4.0,43.0
QUEENS PLAZA,R,23,0.0,0,15.0,5.0,135.0
QUEENS PLAZA,R,23,0.0,1,21.0,11.0,150.0
QUEENS PLAZA,R,23,1.0,0,5.0,3.0,28.0
QUEENS PLAZA,R,23,1.0,1,8.0,4.0,43.0
QUEENSBORO PLZ,7,0,0.0,0,9.0,4.0,66.0
QUEENSBORO PLZ,7,0,0.0,1,4.0,3.0,35.0
QUEENSBORO PLZ,7,0,1.0,0,0.0,1.0,53.0
QUEENSBORO PLZ,7,0,1.0,1,3.0,0.0,7.0
QUEENSBORO PLZ,7,1,0.0,0,8.0,3.0,90.0
QUEENSBORO PLZ,7,1,0.0,1,0.0,3.0,51.0
QUEENSBORO PLZ,7,1,1.0,0,0.0,0.0,9.0
QUEENSBORO PLZ,7,1,1.0,1,0.0,0.0,21.0
QUEENSBORO PLZ,7,2,0.0,0,10.0,3.0,98.0
QUEENSBORO PLZ,7,2,0.0,1,5.0,6.0,77.0
QUEENSBORO PLZ,7,2,1.0,0,61.0,49.0,133.0
QUEENSBORO PLZ,7,2,1.0,1,154.0,93.0,188.0
QUEENSBORO PLZ,7,3,0.0,0,13.0,3.0,106.0
